sub_id,source,platform,n_trials,n_congruent,n_incongruent,congruent_accuracy,congruent_omission_rate,congruent_rt,incongruent_accuracy,incongruent_omission_rate,incongruent_rt,stroop_effect,lag1_autocorr,post_error_slowing_ms
s331,human,human,96,48,48,1.0,0.0,587.0833333333334,0.9583333333333334,0.0,807.4565217391304,220.373188405797,0.18946854632509574,-45.290322580645125
s332,human,human,96,48,48,1.0,0.0,741.3958333333334,0.9166666666666666,0.041666666666666664,869.0454545454545,127.64962121212113,0.17242978400212783,70.62222222222226
s333,human,human,96,48,48,1.0,0.0,716.1875,0.8958333333333334,0.041666666666666664,858.3953488372093,142.20784883720933,-0.10974773567827444,138.9204545454545
s334,human,human,96,48,48,1.0,0.0,887.5,0.9375,0.0625,1061.1555555555556,173.65555555555557,0.04588577868602424,
s335,human,human,96,48,48,0.9791666666666666,0.0,621.4468085106383,0.875,0.020833333333333332,695.5714285714286,74.12462006079022,0.1457389741854821,103.74712643678163
s336,human,human,96,48,48,0.9583333333333334,0.020833333333333332,513.7391304347826,0.8541666666666666,0.0,632.9512195121952,119.21208907741254,-0.02231131191971252,7.245588235294122
s337,human,human,96,48,48,1.0,0.0,564.2916666666666,0.8125,0.020833333333333332,774.7948717948718,210.5032051282052,0.0378323039635983,56.138235294117635
s338,human,human,96,48,48,1.0,0.0,605.3541666666666,0.9583333333333334,0.0,812.804347826087,207.45018115942037,0.07657284235121743,546.6236559139785
s339,human,human,96,48,48,0.9791666666666666,0.0,744.2978723404256,1.0,0.0,798.7291666666666,54.43129432624107,0.04120932960871232,147.6276595744681
s340,human,human,96,48,48,0.9791666666666666,0.020833333333333332,941.6808510638298,0.8958333333333334,0.0625,1021.3255813953489,79.6447303315191,0.08024212291595455,-31.982352941176487
s341,human,human,96,48,48,0.9375,0.041666666666666664,870.4222222222222,0.8541666666666666,0.08333333333333333,1138.3658536585365,267.94363143631426,-0.017584156260731284,110.13750000000005
s342,human,human,96,48,48,1.0,0.0,806.9791666666666,0.9583333333333334,0.020833333333333332,949.5869565217391,142.6077898550725,0.10153399524093328,-117.55913978494618
s343,human,human,96,48,48,0.8958333333333334,0.020833333333333332,875.3023255813954,0.8125,0.041666666666666664,891.0,15.697674418604606,0.04369434142820961,100.70759493670892
s344,human,human,96,48,48,0.9791666666666666,0.0,577.0851063829788,0.9166666666666666,0.0,753.3181818181819,176.2330754352031,0.20718784040104785,30.966666666666697
s345,human,human,96,48,48,0.8541666666666666,0.14583333333333334,631.780487804878,0.7916666666666666,0.20833333333333334,734.8421052631579,103.0616174582799,0.7408159719361646,
s346,human,human,96,48,48,1.0,0.0,806.9583333333334,0.9583333333333334,0.0,927.2391304347826,120.28079710144925,-0.0071996819403442255,51.968085106383
s347,human,human,96,48,48,1.0,0.0,653.0208333333334,0.9583333333333334,0.0,662.5217391304348,9.500905797101382,0.31874843187524304,32.44086021505382
s348,human,human,96,48,48,0.875,0.020833333333333332,610.1666666666666,0.7916666666666666,0.0625,733.2631578947369,123.09649122807025,-0.032405112858091986,-78.57177033492815
s349,human,human,96,48,48,0.9791666666666666,0.020833333333333332,638.3404255319149,0.875,0.0625,786.0,147.6595744680851,0.22658193007116972,349.7701149425286
s350,human,human,96,48,48,0.9583333333333334,0.0,591.4782608695652,0.8958333333333334,0.0,759.4651162790698,167.98685540950453,0.054532118866187244,36.48051948051943
s351,human,human,96,48,48,0.9791666666666666,0.0,589.9574468085107,0.9583333333333334,0.0,671.0434782608696,81.08603145235895,0.10398046996484037,28.496376811594246
s352,human,human,96,48,48,0.9375,0.0625,793.8,0.8125,0.08333333333333333,926.4102564102565,132.6102564102565,0.01297849398848838,90.25
s353,human,human,96,48,48,1.0,0.0,1050.8333333333333,0.9791666666666666,0.020833333333333332,1117.8936170212767,67.06028368794341,0.04536571903723954,
s354,human,human,96,48,48,0.9375,0.0,554.5333333333333,0.8958333333333334,0.0,612.4651162790698,57.93178294573647,0.19820510776750117,134.90373563218395
s355,human,human,96,48,48,0.9791666666666666,0.0,780.4468085106383,0.9166666666666666,0.020833333333333332,911.1818181818181,130.7350096711798,-0.041813485593395615,-70.27247191011236
s356,human,human,96,48,48,1.0,0.0,617.7083333333334,0.9166666666666666,0.0,697.2954545454545,79.58712121212113,-0.0032358670971240917,78.68406593406598
s357,human,human,96,48,48,1.0,0.0,608.0416666666666,1.0,0.0,683.5416666666666,75.5,0.0757352652509906,
s358,human,human,96,48,48,1.0,0.0,508.4791666666667,0.8333333333333334,0.020833333333333332,640.425,131.94583333333327,-0.1285007678864108,55.62956810631226
s359,human,human,96,48,48,1.0,0.0,626.375,0.9166666666666666,0.0,776.0454545454545,149.6704545454545,0.0764392312681425,13.655797101449252
s360,human,human,96,48,48,1.0,0.0,585.1666666666666,1.0,0.0,631.4791666666666,46.3125,0.061318697335581235,
s362,human,human,96,48,48,1.0,0.0,534.3958333333334,1.0,0.0,574.0416666666666,39.64583333333326,-0.0706609623338986,
s363,human,human,96,48,48,0.9791666666666666,0.0,719.0212765957447,0.9791666666666666,0.0,840.4042553191489,121.38297872340422,-0.047819549925777464,-11.376344086021504
s364,human,human,96,48,48,1.0,0.0,489.375,0.9791666666666666,0.0,554.4042553191489,65.02925531914889,0.21262508249205694,57.531914893617
s365,human,human,96,48,48,0.9791666666666666,0.0,620.2127659574468,0.9583333333333334,0.0,664.2391304347826,44.02636447733585,-0.09363192608944293,-1.1231884057970092
s366,human,human,96,48,48,0.9375,0.020833333333333332,817.4888888888889,0.8541666666666666,0.10416666666666667,864.0243902439024,46.53550135501348,0.05654859840612983,115.8641975308642
s368,human,human,96,48,48,1.0,0.0,617.6666666666666,0.9583333333333334,0.020833333333333332,744.7608695652174,127.09420289855075,-0.05540221815520493,-52.76086956521738
s369,human,human,96,48,48,0.9375,0.020833333333333332,707.6,0.7708333333333334,0.020833333333333332,824.8918918918919,117.29189189189185,0.15562211077768143,176.06585365853664
s370,human,human,96,48,48,0.9791666666666666,0.0,616.0425531914893,0.9583333333333334,0.020833333333333332,763.1739130434783,147.13135985198892,0.008130513926096468,-84.55494505494505
s372,human,human,96,48,48,1.0,0.0,742.5625,1.0,0.0,859.4375,116.875,-0.10295266630154687,
s373,human,human,96,48,48,0.875,0.08333333333333333,850.0238095238095,0.6875,0.0625,916.939393939394,66.91558441558448,-0.03191869703088938,-44.48933901918974
s374,human,human,96,48,48,1.0,0.0,555.875,1.0,0.0,591.9583333333334,36.08333333333337,0.07664209252415297,
s375,human,human,96,48,48,1.0,0.0,758.4791666666666,0.9166666666666666,0.041666666666666664,965.3409090909091,206.8617424242425,0.13420709382941778,-78.27528089887642
s376,human,human,96,48,48,0.9791666666666666,0.0,566.8723404255319,1.0,0.0,676.2916666666666,109.41932624113474,0.3218899024212385,
s377,human,human,96,48,48,0.9791666666666666,0.0,622.3617021276596,0.9166666666666666,0.020833333333333332,764.1818181818181,141.82011605415858,0.15725100140866052,-124.75842696629218
s378,human,human,96,48,48,1.0,0.0,470.6458333333333,0.9791666666666666,0.0,562.6170212765958,91.97118794326246,0.0976577863210856,191.7234042553191
s379,human,human,96,48,48,0.9791666666666666,0.0,621.3404255319149,0.9791666666666666,0.0,786.8085106382979,165.468085106383,-0.14713907420809827,47.55913978494618
s380,human,human,96,48,48,0.9791666666666666,0.0,631.1914893617021,0.9791666666666666,0.0,745.9574468085107,114.76595744680856,0.2592304011279476,440.063829787234
s381,human,human,96,48,48,0.9583333333333334,0.0,587.5217391304348,0.9791666666666666,0.0,638.2978723404256,50.7761332099908,-0.0078006951492882465,-62.75
s383,human,human,96,48,48,1.0,0.0,750.2708333333334,0.8958333333333334,0.0,854.4883720930233,104.21753875968989,0.12743940431934722,37.322222222222194
s384,human,human,96,48,48,0.9583333333333334,0.0,573.4565217391304,1.0,0.0,644.5833333333334,71.12681159420299,0.10630361781671432,-73.89784946236557
s386,human,human,96,48,48,1.0,0.0,981.7916666666666,0.9583333333333334,0.041666666666666664,1214.0869565217392,232.2952898550726,0.049699461497795125,
s387,human,human,96,48,48,1.0,0.0,657.375,0.8958333333333334,0.0,813.6976744186046,156.3226744186046,0.052448965856183596,163.92222222222222
s388,human,human,96,48,48,0.9583333333333334,0.041666666666666664,690.7391304347826,0.875,0.041666666666666664,921.5714285714286,230.83229813664593,0.04795226352265229,-109.44047619047626
s389,human,human,96,48,48,1.0,0.0,594.2291666666666,0.9791666666666666,0.0,719.0212765957447,124.79210992907804,0.1731050075633381,172.2234042553191
s390,human,human,96,48,48,0.9791666666666666,0.0,568.8723404255319,0.875,0.020833333333333332,632.4285714285714,63.55623100303956,0.04782381011594832,95.17241379310337
s391,human,human,96,48,48,1.0,0.0,635.5416666666666,0.7916666666666666,0.041666666666666664,795.8157894736842,160.27412280701753,-0.007778586645268965,50.69047619047626
s392,human,human,96,48,48,1.0,0.0,677.8125,1.0,0.0,784.0416666666666,106.22916666666663,-0.07798820326695696,
s393,human,human,96,48,48,1.0,0.0,665.6041666666666,0.7083333333333334,0.020833333333333332,857.5,191.89583333333337,0.1523556122472337,148.33024691358025
s394,human,human,96,48,48,1.0,0.0,573.7291666666666,0.9583333333333334,0.0,675.804347826087,102.07518115942037,0.22042200728624947,94.36021505376345
s395,human,human,96,48,48,1.0,0.0,528.5625,1.0,0.0,648.3333333333334,119.77083333333337,-0.08732455750169794,
s396,human,human,96,48,48,0.9583333333333334,0.0,560.2608695652174,0.9583333333333334,0.0,580.5434782608696,20.282608695652243,0.10569633584976608,18.887362637362685
