sub_id,source,platform,n_trials,n_go,n_stop,go_accuracy,go_omission_rate,go_rt,go_rt_all_responses,mean_stop_failure_RT,stop_accuracy,max_SSD,mean_SSD,min_SSD,final_SSD,ssrt,lag1_autocorr,post_error_slowing_ms,stop_acc_in_band
s145,human,human,600,420,180,0.8857142857142857,0.01904761904761905,548.7123655913979,546.0145631067961,490.7142857142857,0.45,550.0,285.55555555555554,100.0,400.0,263.15681003584234,0.011595544883205666,-9.907662596968976,True
s146,human,human,600,420,180,0.95,0.004761904761904762,585.8020050125314,584.7799043062201,559.0,0.4722222222222222,500.0,308.3333333333333,0.0,400.0,277.46867167919805,-0.015139311268966131,-12.310701389648727,True
s147,human,human,600,420,180,0.8428571428571429,0.11666666666666667,622.2090395480226,624.0161725067386,540.0,0.4888888888888889,700.0,263.6111111111111,0.0,0.0,358.5979284369115,0.009682483703591382,46.69280367061094,True
s149,human,human,600,420,180,0.9928571428571429,0.0,565.863309352518,565.1761904761905,454.8,0.4777777777777778,450.0,242.22222222222223,100.0,200.0,323.6410871302957,-0.012925651040668625,15.794964472008871,True
s150,human,human,600,420,180,0.9785714285714285,0.0,517.992700729927,517.5690476190476,431.4,0.4722222222222222,450.0,237.22222222222223,100.0,200.0,280.7704785077048,0.035311403523904925,-5.055963480963499,True
s151,human,human,600,420,180,0.9285714285714286,0.0,498.1102564102564,494.10238095238094,416.0,0.4722222222222222,400.0,259.44444444444446,100.0,300.0,238.66581196581194,0.02187595113055583,-10.600759493670921,True
s152,human,human,600,420,180,0.9904761904761905,0.002380952380952381,628.3100961538462,628.3126491646779,453.0,0.4722222222222222,600.0,388.8888888888889,200.0,400.0,239.42120726495727,-0.09764703319953393,38.44851546391749,True
s153,human,human,600,420,180,0.9642857142857143,0.004761904761904762,549.4098765432099,550.0885167464115,,0.5055555555555555,350.0,195.27777777777777,0.0,150.0,354.1320987654321,-0.0018548994548104871,24.67410412440836,True
s154,human,human,600,420,180,0.9547619047619048,0.007142857142857143,668.7980049875312,669.3357314148681,1093.0,0.4722222222222222,600.0,403.8888888888889,200.0,500.0,264.90911609864224,0.021004960258985766,-3.9132368883406343,True
s155,human,human,600,420,180,0.9476190476190476,0.02857142857142857,635.6130653266332,640.5833333333334,461.5,0.4888888888888889,600.0,269.72222222222223,0.0,350.0,365.890843104411,0.020341615982928257,-17.781914439415914,True
s156,human,human,600,420,180,0.9785714285714285,0.0,710.8248175182482,710.3523809523809,643.5,0.4722222222222222,650.0,417.22222222222223,100.0,400.0,293.602595296026,0.05678691955447974,-46.61294237394304,True
s157,human,human,600,420,180,0.9738095238095238,0.0,589.8117359413203,589.7285714285714,,0.49444444444444446,450.0,294.44444444444446,100.0,300.0,295.36729149687585,0.011599020374641158,-27.600679947512845,True
s158,human,human,600,420,180,0.9547619047619048,0.002380952380952381,498.3790523690773,497.4630071599045,471.0,0.48333333333333334,500.0,287.22222222222223,100.0,200.0,211.1568301468551,-0.07376210507898907,41.62790568346122,True
s160,human,human,600,420,180,0.9666666666666667,0.01904761904761905,658.448275862069,660.2839805825242,498.3333333333333,0.4722222222222222,550.0,335.0,150.0,300.0,323.44827586206895,0.003243538024795375,15.664147140337604,True
